Cod. Municipio|Departamento|Municipio|Actividades primarias|Actividades secundarias|Actividades terciarias|Valor agregado 2022|Peso relativo municipal en el valor agregado departamental (%)|% Act. primarias municipio|% Act. secundarias municipio|% Act. terciarias municipio|Valor agregado 2021|Crecimiento 2022
05134|Antioquia|Campamento|23,630344149110687|6,182040954098642|86,65659710371328|116,46898220692262|0,06082705184288861|20,288959087088305|5,3078861315327925|74,4031547813789|94,34515378530261|23,449883257349178
05138|Antioquia|Cañasgordas|91,93340927086037|16,125717722565444|163,97916571524996|272,0382927086758|0,1420746281138018|33,79428989775028|5,927738173182251|60,27797192906746|220,5390424537987|23,351534350506586
05142|Antioquia|Caracolí|16,0340745817495|3,7681049141617198|57,940626936112906|77,74280643202412|0,040601932185265664|20,62451218013231|4,846885631092354|74,52860218877534|63,74255457282242|21,96374455499297
05145|Antioquia|Caramanta|40,95107168121109|5,163740273154923|58,43532421734217|104,55013617170817|0,05460231928359351|39,16883629300587|4,939008653871327|55,89215505312281|80,17139641163365|30,408276332002295
05147|Antioquia|Carepa|1015,0402961043584|74,74174562337767|600,0479931417403|1689,8300348694763|0,8825300710025996|60,06759704580353|4,423033327677288|35,50936962651918|1456,0503073590494|16,055745212159
05148|Antioquia|El Carmen de Viboral|231,12950652776763|52,91408329853815|748,3984273408266|1032,4420171671325|0,5392028239023194|22,386681545754275|5,125138498695214|72,4881799555505|825,8031352770964|25,02277759222831
05150|Antioquia|Carolina|22,275423947507143|3,5081215054870336|52,94199206282189|78,72553751581606|0,041115172993665884|28,29504205421523|4,456141699613353|67,24881624617143|71,46846757699089|10,154226311075366
05154|Antioquia|Caucasia|1401,1625699971291|63,09855082815557|1224,5448749812338|2688,8059958065187|1,4042549235282298|52,11095825367812|2,3467126645270993|45,542329081794776|2302,4581380374666|16,779799440712573
05172|Antioquia|Chigorodó|766,1817311582984|71,0158445431299|757,2443654368756|1594,4419411383037|0,8327127169514413|48,05328506419657|4,453962399686393|47,492752536117045|1177,1011237702803|35,45496720207622
05190|Antioquia|Cisneros|9,577149761885916|9,979631582611297|150,7750398974168|170,331821241914|0,08895744021157698|5,622642728796961|5,858935523525996|88,51842174767704|134,91248588955455|26,25356364818252
05197|Antioquia|Cocorná|40,864168647970345|19,66641143639782|191,80627157487635|252,33685165924453|0,13178536007534428|16,194292819010553|7,793713564658137|76,01199361633131|183,51376767191505|37,50295406193776
05206|Antioquia|Concepción|18,95133069456486|5,039234192008874|53,03523894905513|77,02580383562886|0,04022747064815929|24,603872664550863|6,542267579267948|68,8538597561812|57,37610635492864|34,24717836227362
05209|Antioquia|Concordia|273,26259063396753|24,642196270063785|230,12352181926147|528,0283087232928|0,27576788858824164|51,75150387195768|4,666832414657004|43,58166371338532|380,2571852396675|38,86083661785076
05212|Antioquia|Copacabana|24,53465531026719|932,2346639677954|1114,432502403387|2071,2018216814495|1,0817051733196539|1,1845613041393228|45,00935902088894|53,80607967497174|1722,7769847321406|20,224604811718127
05234|Antioquia|Dabeiba|167,26904139485785|17,658497591461185|261,39422819952676|446,32176718584583|0,23309585742743336|37,47723138163862|3,9564500075364433|58,56631861082493|349,67230212308635|27,640011655466612
05237|Antioquia|Donmatías|234,00500369937197|42,927166166569485|307,0281106843652|583,9602805503066|0,30497890155950924|40,07207536081952|7,351042116446038|52,57688252273445|431,07671645328185|35,46551188263809
05240|Antioquia|Ebéjico|220,74298975359116|18,347825807354788|137,2033161550364|376,2941317159823|0,19652324785836717|58,6623524387573|4,875926638474203|36,46172092276851|285,2172027126809|31,932480978382483
05250|Antioquia|El Bagre|638,0081239280701|29,01939730596427|578,0697705485611|1245,0972917825954|0,6502640967716693|51,241628115232594|2,330693151249043|46,42767873351836|1195,7832016200264|4,123999241313903
05264|Antioquia|Entrerríos|111,85241962964929|243,50996000957528|184,03005398238992|539,3924336216145|0,2817029126714021|20,73674242677904|45,145230973039254|34,118026600181715|419,83788425200146|28,476360484384532
05266|Antioquia|Envigado|28,766823488919222|2786,431136222592|8111,120193874481|10926,318153585991|5,706375278520869|0,26328011947444546|25,502013551638093|74,23470632888747|10012,03858412896|9,131802297549484
05282|Antioquia|Fredonia|272,23839160164124|28,1882560043626|274,9181477033045|575,3447953093083|0,3004793811080058|47,317433619136935|4,899367515649193|47,78319886521387|427,97925796583013|34,43286902358336
05284|Antioquia|Frontino|77,8169338254347|19,46358017146969|213,74441809368176|311,02493209058616|0,162435777408043|25,019516378439555|6,257884228329616|68,72259939323084|273,7330108640548|13,623465108872757
05306|Antioquia|Giraldo|13,816673937922488|3,1882571164251123|58,551140964569974|75,55607201891758|0,03945988899924087|18,286649330398088|4,219723221750918|77,49362744785098|68,42724739668714|10,418108127166281
