Cod. Municipio|Departamento|Municipio|AÑO|Población municipio|Total Hombres|Total Mujeres|% mujeres municipio|% jóvenes municipio
05475|Antioquia|Murindó|2024|5300|2686|2614|49,32075471698113|23,660377358490567
05480|Antioquia|Mutatá|2024|15035|7611|7424|49,37811772530761|24,42966411706019
05483|Antioquia|Nariño|2024|10812|5509|5303|49,04735479097299|20,172031076581575
05490|Antioquia|Necoclí|2024|45530|22432|23098|50,73138589940699|24,20601801010323
05495|Antioquia|Nechí|2024|27901|14426|13475|48,29576000860184|23,615641016451022
05501|Antioquia|Olaya|2024|3327|1662|1665|50,04508566275925|18,78569281635107
05541|Antioquia|Peñol|2024|22592|11019|11573|51,22609773371105|20,972025495750707
05543|Antioquia|Peque|2024|8644|4549|4095|47,37390097177233|23,426654326700604
05576|Antioquia|Pueblorrico|2024|9198|4593|4605|50,06523157208089|20,29789084583605
05579|Antioquia|Puerto Berrío|2024|42203|21122|21081|49,95142525412886|23,14527403265171
05585|Antioquia|Puerto Nare|2024|15232|7563|7669|50,34795168067227|18,940388655462183
05591|Antioquia|Puerto Triunfo|2024|19554|10696|8858|45,30019433364018|25,155978316456988
05604|Antioquia|Remedios|2024|30501|15171|15330|50,260647191895345|24,776236844693617
05607|Antioquia|Retiro|2024|25431|12355|13076|51,417561244150846|19,41331445873147
05615|Antioquia|Rionegro|2024|146880|71909|74971|51,042347494553375|22,572848583877995
05628|Antioquia|Sabanalarga|2024|9668|5066|4602|47,60033098882913|23,510550268928423
05631|Antioquia|Sabaneta|2024|89647|41634|48013|53,55784354189209|20,28623378361797
05642|Antioquia|Salgar|2024|19314|9618|9696|50,20192606399503|21,802837320078698
05647|Antioquia|San Andrés de Cuerquía|2024|7649|3916|3733|48,80376519806511|23,31023663223951
05649|Antioquia|San Carlos|2024|16984|8645|8339|49,09915214319359|20,41921808761187
05652|Antioquia|San Francisco|2024|5996|2985|3011|50,21681120747164|20,79719813208806
05656|Antioquia|San Jerónimo|2024|16499|8077|8422|51,04551791017637|21,78313837202255
05658|Antioquia|San José de La Montaña|2024|3920|1909|2011|51,30102040816327|25,051020408163264
05659|Antioquia|San Juan de Urabá|2024|21707|10667|11040|50,85916985304279|23,45326392407979
05660|Antioquia|San Luis|2024|13791|6742|7049|51,113044739322746|21,75331738090059
05664|Antioquia|San Pedro de Los Milagros|2024|23573|11331|12242|51,93229542272939|23,70084418614517
